city,country,latitude,longitude,temperature,humidity,cloudiness,windspeed
margate,GB,51.38,1.39,66.87,42,20,12.75
dawei,MM,14.08,98.2,79.88,69,99,1.19
hay river,CA,60.82,-115.8,8.6,71,75,2.24
komsomolskiy,UZ,40.43,71.72,64.4,59,100,4.7
along,IN,28.17,94.77,68.02,50,61,3.69
fortuna,US,40.6,-124.16,48.36,93,75,3.36
barra patuca,HN,15.8,-84.28,82.67,73,63,12.48
chiang khong,TH,20.26,100.4,75.83,83,20,5.82
gorele,TR,41.03,39.0,51.8,81,40,2.24
creston,US,41.06,-94.36,46.9,100,90,13.87
jiaojiang,CN,28.68,121.44,52.0,74,0,1.01
eureka,US,40.8,-124.16,48.87,87,40,8.19
bowen,AU,-20.02,148.23,73.78,94,75,4.7
hasaki,JP,35.73,140.83,48.42,93,75,13.87
hailey,US,43.52,-114.32,30.2,50,40,0.69
xixiang,CN,35.16,112.86,55.9,32,0,2.44
ahuimanu,US,21.44,-157.84,69.24,69,90,6.93
kadipaten,ID,-8.14,113.22,78.37,67,72,1.74
jijiga,ET,9.35,42.8,77.88,30,91,1.12
saint-gabriel,CA,46.3,-73.38,43.83,63,1,11.41
fujin,CN,47.26,132.03,49.41,48,38,5.28
kursenai,LT,55.98,22.92,53.6,46,98,10.29
mattru,SL,7.62,-11.83,96.75,41,73,4.61
luena,AO,-11.78,19.92,78.8,74,75,6.93
magistralnyy,RU,56.17,107.45,32.04,80,61,7.25
darhan,MN,49.49,105.92,40.84,50,17,11.16
cascais,PT,38.7,-9.42,68.32,72,20,16.11
gonbad-e qabus,IR,37.25,55.17,53.6,93,90,2.42
tchollire,CM,8.4,14.17,104.77,9,43,2.95
biloela,AU,-24.42,150.5,63.55,59,0,8.48
siderno,IT,38.28,16.3,65.16,68,0,6.93
agarakadzor,AM,39.73,45.35,57.2,41,75,6.93
onguday,RU,50.75,86.15,38.39,50,0,1.05
wick,GB,58.43,-3.08,43.48,69,77,23.04
bud,US,39.45,-86.18,58.08,62,90,8.05
moose factory,CA,51.26,-80.61,28.4,74,40,6.93
san,ML,13.3,-4.9,102.74,17,48,7.16
ponta delgada,PT,37.73,-25.67,62.6,82,75,12.75
tiznit,MA,29.58,-9.5,62.46,48,70,11.92
atambua,ID,-9.11,124.89,74.43,79,99,1.52
lompoc,US,34.64,-120.46,53.02,81,90,3.36
port hardy,CA,50.7,-127.42,37.4,86,40,2.68
artyshta,RU,54.12,86.29,38.41,64,0,3.98
arman,RU,59.7,150.17,17.94,96,100,3.02
inirida,CO,3.87,-67.92,87.96,65,100,2.39
luwuk,ID,-0.95,122.79,80.29,58,3,3.11
luganville,VU,-15.53,167.17,76.35,77,100,1.79
caceres,ES,39.52,-6.37,69.01,56,9,1.99
morro bay,US,35.37,-120.85,51.51,81,90,2.73
nisia floresta,BR,-6.09,-35.21,87.8,62,40,12.75
mayumba,GA,-3.43,10.66,80.49,75,100,4.56
urumqi,CN,43.8,87.6,62.6,29,13,2.24
